dcid,sentence
NAICS323119,Other commercial printing
NAICS32312,Support activities for printing
NAICS/323120,"Support activities for printing"",""Support Activities for Printing"
NAICS323121,Trade binding and related work
NAICS323122,Pre press services
NAICS324,Petroleum and coal products manufacturing
NAICS3241,Petroleum and coal products manufacturing
NAICS32411,Petroleum refineries
NAICS/324110,"Petroleum refineries"",""Petroleum Refineries"
NAICS32412,Asphalt paving and roofing materials mfg.
NAICS/324121,"Asphalt paving mixture and block mfg."",""Asphalt Paving Mixture and Block Manufacturing"
NAICS/324122,"Asphalt shingle and coating materials mfg."",""Asphalt Shingle and Coating Materials Manufacturing"
NAICS32419,Other petroleum and coal products mfg.
NAICS/324191,"Petroleum lubricating oil and grease mfg."",""Petroleum Lubricating Oil and Grease Manufacturing"
NAICS/324199,"All other petroleum and coal products mfg."",""All Other Petroleum and Coal Products Manufacturing"
NAICS325,Chemical manufacturing
NAICS3251,Basic chemical manufacturing
NAICS32511,Petrochemical manufacturing
NAICS/325110,"Petrochemical manufacturing"",""Petrochemical Manufacturing"
NAICS32512,Industrial gas manufacturing
NAICS/325120,"Industrial gas manufacturing"",""Industrial Gas Manufacturing"
NAICS32513,Synthetic dye and pigment manufacturing
NAICS/325130,"Synthetic dye and pigment manufacturing"",""Synthetic Dye and Pigment Manufacturing"
NAICS325131,Inorganic dye and pigment manufacturing
NAICS325132,Synthetic organic dye and pigment mfg.
NAICS32518,Other basic inorganic chemical manufacturing
NAICS/325180,"Other basic inorganic chemical manufacturing"",""Other Basic Inorganic Chemical Manufacturing"
NAICS325181,Alkalies and chlorine manufacturing
NAICS325182,Carbon black manufacturing
NAICS325188,All other basic inorganic chemical mfg.
NAICS32519,Other basic organic chemical manufacturing
NAICS325191,Gum and wood chemical manufacturing
NAICS325192,Cyclic crude and intermediate manufacturing
NAICS/325193,"Ethyl alcohol manufacturing"",""Ethyl Alcohol Manufacturing"
NAICS/325194,"Cyclic Crude, Intermediate, and Gum and Wood Chemical Manufacturing"",""Cyclic crude, intermediate, wood chemical mfg"
NAICS/325199,"All other basic organic chemical mfg."",""All Other Basic Organic Chemical Manufacturing"
NAICS3252,"Resin, rubber, and artificial fibers mfg."
NAICS32521,Resin and synthetic rubber manufacturing
NAICS/325211,"Plastics material and resin manufacturing"",""Plastics Material and Resin Manufacturing"
NAICS/325212,"Synthetic rubber manufacturing"",""Synthetic Rubber Manufacturing"
NAICS32522,Artificial fibers and filaments manufacturing
NAICS/325220,"Artificial fibers and filaments manufacturing"",""Artificial and Synthetic Fibers and Filaments Manufacturing"
NAICS325221,Cellulosic organic fiber manufacturing
NAICS325222,Non cellulosic organic fiber manufacturing
NAICS3253,Agricultural chemical manufacturing
NAICS32531,Fertilizer manufacturing
NAICS/325311,"Nitrogenous fertilizer manufacturing"",""Nitrogenous Fertilizer Manufacturing"
NAICS/325312,"Phosphatic fertilizer manufacturing"",""Phosphatic Fertilizer Manufacturing"
NAICS/325314,"Fertilizer (Mixing Only) Manufacturing"",""Fertilizer, mixing only, manufacturing"
NAICS32532,Pesticide and other ag. chemical mfg.
NAICS/325320,"Pesticide and other ag. chemical mfg."",""Pesticide and Other Agricultural Chemical Manufacturing"
NAICS3254,Pharmaceutical and medicine manufacturing
NAICS32541,Pharmaceutical and medicine manufacturing
NAICS/325411,"Medicinal and botanical manufacturing"",""Medicinal and Botanical Manufacturing"
NAICS/325412,"Pharmaceutical preparation manufacturing"",""Pharmaceutical Preparation Manufacturing"
NAICS/325413,"In-vitro diagnostic substance manufacturing"",""In-Vitro Diagnostic Substance Manufacturing"
NAICS/325414,"Other biological product manufacturing"",""Biological Product (except Diagnostic) Manufacturing"
NAICS3255,"Paint, coating, and adhesive manufacturing"
NAICS32551,Paint and coating manufacturing
NAICS/325510,"Paint and coating manufacturing"",""Paint and Coating Manufacturing"
NAICS32552,Adhesive manufacturing
NAICS/325520,"Adhesive manufacturing"",""Adhesive Manufacturing"
NAICS3256,"Soap, cleaning compound, and toiletry mfg."
NAICS32561,Soap and cleaning compound manufacturing
NAICS/325611,"Soap and other detergent manufacturing"",""Soap and Other Detergent Manufacturing"
NAICS/325612,"Polish and other sanitation good mfg."",""Polish and Other Sanitation Good Manufacturing"
NAICS/325613,"Surface active agent manufacturing"",""Surface Active Agent Manufacturing"
NAICS32562,Toilet preparation manufacturing
NAICS/325620,"Toilet preparation manufacturing"",""Toilet Preparation Manufacturing"
NAICS3259,Other chemical product and preparation mfg.
NAICS32591,Printing ink manufacturing
NAICS/325910,"Printing ink manufacturing"",""Printing Ink Manufacturing"
NAICS32592,Explosives manufacturing
NAICS/325920,"Explosives manufacturing"",""Explosives Manufacturing"
NAICS32599,All other chemical preparation manufacturing
NAICS/325991,"Custom compounding of purchased resins"",""Custom Compounding of Purchased Resins"
NAICS/325992,"Photographic Film, Paper, Plate, and Chemical Manufacturing"",""Photographic film and chemical manufacturing"
NAICS/325998,"Other miscellaneous chemical product mfg."",""All Other Miscellaneous Chemical Product and Preparation Manufacturing"
NAICS326,Plastics and rubber products manufacturing
NAICS3261,Plastics product manufacturing
NAICS32611,"Plastics packaging materials, film and sheet"
NAICS/326111,"Plastics bag and pouch manufacturing"",""Plastics Bag and Pouch Manufacturing"
NAICS/326112,"Plastics packaging film and sheet mfg."",""Plastics Packaging Film and Sheet (including Laminated) Manufacturing"
NAICS/326113,"Non packaging plastics film and sheet mfg."",""Unlaminated Plastics Film and Sheet (except Packaging) Manufacturing"
NAICS32612,"Plastics pipe, fittings, and profile shapes"
NAICS/326121,"Non laminated plastics profile shape mfg."",""Unlaminated Plastics Profile Shape Manufacturing"
NAICS/326122,"Plastics pipe and pipe fitting manufacturing"",""Plastics Pipe and Pipe Fitting Manufacturing"
NAICS32613,"Laminated plastics plate, sheet, and shapes"
NAICS/326130,"Laminated Plastics Plate, Sheet (except Packaging), and Shape Manufacturing"",""Laminated plastics plate, sheet, and shapes"
NAICS32614,Polystyrene foam product manufacturing
NAICS/326140,"Polystyrene foam product manufacturing"",""Polystyrene Foam Product Manufacturing"
NAICS32615,Urethane and other foam product manufacturing
NAICS/326150,"Urethane and other foam product manufacturing"",""Urethane and Other Foam Product (except Polystyrene) Manufacturing"
NAICS32616,Plastics bottle manufacturing
NAICS/326160,"Plastics bottle manufacturing"",""Plastics Bottle Manufacturing"
NAICS32619,Other plastics product manufacturing
NAICS/326191,"Plastics plumbing fixture manufacturing"",""Plastics Plumbing Fixture Manufacturing"
NAICS326192,Resilient floor covering manufacturing
NAICS/326199,"All other plastics product manufacturing"",""All Other Plastics Product Manufacturing"
NAICS3262,Rubber product manufacturing
NAICS32621,Tire manufacturing
NAICS/326211,"Tire Manufacturing (except Retreading)"",""Tire manufacturing, except retreading"
NAICS/326212,"Tire retreading"",""Tire Retreading"
NAICS32622,Rubber and plastics hose and belting mfg.
NAICS/326220,"Rubber and plastics hose and belting mfg."",""Rubber and Plastics Hoses and Belting Manufacturing"
NAICS32629,Other rubber product manufacturing
NAICS/326291,"Rubber product mfg. for mechanical use"",""Rubber Product Manufacturing for Mechanical Use"
NAICS/326299,"All other rubber product manufacturing"",""All Other Rubber Product Manufacturing"
NAICS327,Nonmetallic mineral product manufacturing
NAICS3271,Clay product and refractory manufacturing
NAICS32711,"Pottery, ceramics, and plumbing fixture mfg"
NAICS/327110,"Pottery, Ceramics, and Plumbing Fixture Manufacturing"",""Pottery, ceramics, and plumbing fixture mfg"
NAICS327111,Vitreous china plumbing fixture manufacturing
NAICS327112,Vitreous china and earthenware articles mfg.
NAICS327113,Porcelain electrical supply manufacturing
NAICS32712,Clay building material and refractories mfg.
NAICS/327120,"Clay building material and refractories mfg"",""Clay Building Material and Refractories Manufacturing"
NAICS327121,Brick and structural clay tile manufacturing
NAICS327122,Ceramic wall and floor tile manufacturing
NAICS327123,Other structural clay product manufacturing
NAICS327124,Clay refractory manufacturing
NAICS327125,Non clay refractory manufacturing
NAICS3272,Glass and glass product manufacturing
NAICS32721,Glass and glass product manufacturing
NAICS/327211,"Flat glass manufacturing"",""Flat Glass Manufacturing"
NAICS/327212,"Other pressed and blown glass and glassware"",""Other Pressed and Blown Glass and Glassware Manufacturing"
NAICS/327213,"Glass container manufacturing"",""Glass Container Manufacturing"
NAICS/327215,"Glass product mfg. made of purchased glass"",""Glass Product Manufacturing Made of Purchased Glass"
NAICS3273,Cement and concrete product manufacturing
NAICS32731,Cement manufacturing
NAICS/327310,"Cement manufacturing"",""Cement Manufacturing"
NAICS32732,Ready-mix concrete manufacturing
NAICS/327320,"Ready-mix concrete manufacturing"",""Ready-Mix Concrete Manufacturing"
NAICS32733,"Concrete pipe, brick, and block manufacturing"
NAICS/327331,"Concrete block and brick manufacturing"",""Concrete Block and Brick Manufacturing"
NAICS/327332,"Concrete pipe manufacturing"",""Concrete Pipe Manufacturing"
NAICS32739,Other concrete product manufacturing
NAICS/327390,"Other concrete product manufacturing"",""Other Concrete Product Manufacturing"
NAICS3274,Lime and gypsum product manufacturing
NAICS32741,Lime manufacturing
NAICS/327410,"Lime manufacturing"",""Lime Manufacturing"
NAICS32742,Gypsum product manufacturing
NAICS/327420,"Gypsum product manufacturing"",""Gypsum Product Manufacturing"
NAICS3279,Other nonmetallic mineral products
NAICS32791,Abrasive product manufacturing
NAICS/327910,"Abrasive product manufacturing"",""Abrasive Product Manufacturing"
NAICS32799,All other nonmetallic mineral products mfg.
NAICS/327991,"Cut stone and stone product manufacturing"",""Cut Stone and Stone Product Manufacturing"
NAICS/327992,"Ground or treated minerals and earths mfg."",""Ground or Treated Mineral and Earth Manufacturing"
NAICS/327993,"Mineral wool manufacturing"",""Mineral Wool Manufacturing"
NAICS/327999,"Miscellaneous nonmetallic mineral products"",""All Other Miscellaneous Nonmetallic Mineral Product Manufacturing"
NAICS331,Primary metal manufacturing
NAICS3311,Iron and steel mills and ferroalloy mfg.
NAICS33111,Iron and steel mills and ferroalloy mfg.
NAICS/331110,"Iron and steel mills and ferroalloy mfg."",""Iron and Steel Mills and Ferroalloy Manufacturing"
NAICS331111,Iron and steel mills
NAICS331112,Ferroalloy and related product manufacturing
NAICS3312,Steel product mfg. from purchased steel
NAICS33121,"Iron, steel pipe and tube from purchase steel"
NAICS/331210,"Iron and Steel Pipe and Tube Manufacturing from Purchased Steel"",""Iron, steel pipe and tube from purchase steel"
NAICS33122,Rolling and drawing of purchased steel
NAICS/331221,"Rolled steel shape manufacturing"",""Rolled Steel Shape Manufacturing"
NAICS/331222,"Steel wire drawing"",""Steel Wire Drawing"
NAICS3313,Alumina and aluminum production
NAICS33131,Alumina and aluminum production
NAICS331311,Alumina refining
NAICS331312,Primary aluminum production
NAICS/331313,"Alumina Refining and Primary Aluminum Production"",""Alumina refining, primary aluminum production"
NAICS/331314,"Secondary smelting and alloying of aluminum"",""Secondary Smelting and Alloying of Aluminum"
NAICS/331315,"Aluminum Sheet, Plate, and Foil Manufacturing"",""Aluminum sheet, plate, and foil manufacturing"
NAICS331316,Aluminum extruded product manufacturing
NAICS/331318,"Other Aluminum Rolling, Drawing, and Extruding"",""Other aluminum rolling, drawing and extruding"
NAICS331319,Other aluminum rolling and drawing
NAICS3314,Other nonferrous metal production
NAICS33141,Other nonferrous metal production
NAICS/331410,"Other nonferrous metal production"",""Nonferrous Metal (except Aluminum) Smelting and Refining"
NAICS331411,Primary smelting and refining of copper
NAICS331419,"Primary nonferrous metal, except Cu and Al"
NAICS33142,"Rolled, drawn, extruded, and alloyed copper"
NAICS/331420,"Copper Rolling, Drawing, Extruding, and Alloying"",""Rolled, drawn, extruded, and alloyed copper"
NAICS331421,"Copper rolling, drawing, and extruding"
NAICS331422,"Copper wire, except mechanical, drawing"
NAICS331423,Secondary processing of copper
NAICS33149,"Nonferrous metal, except Cu and Al, shaping"
NAICS/331491,"Nonferrous Metal (except Copper and Aluminum) Rolling, Drawing, and Extruding"",""Nonferrous metal, except Cu and Al, shaping"
NAICS/331492,"Secondary Smelting, Refining, and Alloying of Nonferrous Metal (except Copper and Aluminum)"",""Secondary processing of other nonferrous"
NAICS3315,Foundries
NAICS33151,Ferrous metal foundries
NAICS/331511,"Iron foundries"",""Iron Foundries"
NAICS/331512,"Steel investment foundries"",""Steel Investment Foundries"
NAICS/331513,"Steel Foundries (except Investment)"",""Steel foundries, except investment"
NAICS33152,Nonferrous metal foundries
NAICS331521,Aluminum die-casting foundries
NAICS331522,"Nonferrous, except al, die-casting foundries"
NAICS/331523,"Nonferrous metal die-casting foundries"",""Nonferrous Metal Die-Casting Foundries"
NAICS/331524,"Aluminum Foundries (except Die-Casting)"",""Aluminum foundries, except die-casting"
NAICS331525,"Copper foundries, except die-casting"
NAICS331528,"Other nonferrous foundries, exc. die-casting"
NAICS/331529,"Other Nonferrous Metal Foundries (except Die-Casting)"",""Other nonferrous foundries, exc. die-casting"
NAICS332,Fabricated metal product manufacturing
NAICS3321,Forging and stamping
NAICS33211,Forging and stamping
NAICS/332111,"Iron and steel forging"",""Iron and Steel Forging"
NAICS/332112,"Nonferrous forging"",""Nonferrous Forging"
NAICS/332114,"Custom roll forming"",""Custom Roll Forming"
NAICS332115,Crown and closure manufacturing
NAICS332116,Metal stamping
NAICS/332117,"Powder metallurgy part manufacturing"",""Powder Metallurgy Part Manufacturing"
NAICS/332119,"Metal Crown, Closure, and Other Metal Stamping (except Automotive)"",""Other metal stamping, except automotive"
NAICS3322,Cutlery and hand tool manufacturing
NAICS33221,Cutlery and hand tool manufacturing
NAICS332211,"Cutlery and flatware, except precious, mfg."
NAICS332212,Hand and edge tool manufacturing
NAICS332213,Saw blade and handsaw manufacturing
NAICS332214,"Kitchen utensil, pot, and pan manufacturing"
NAICS/332215,"Metal Kitchen Cookware, Utensil, Cutlery, and Flatware (except Precious) Manufacturing"",""Metal cookware, cutlery and flatware mfg"
NAICS/332216,"Saw blade and hand tool manufacturing"",""Saw Blade and Handtool Manufacturing"
NAICS3323,Architectural and structural metals mfg.
NAICS33231,Plate work and fabricated structural products
NAICS/332311,"Prefabricated metal buildings and components"",""Prefabricated Metal Building and Component Manufacturing"
NAICS/332312,"Fabricated structural metal manufacturing"",""Fabricated Structural Metal Manufacturing"
NAICS/332313,"Plate work manufacturing"",""Plate Work Manufacturing"
NAICS33232,Ornamental and architectural metal products
NAICS/332321,"Metal window and door manufacturing"",""Metal Window and Door Manufacturing"
NAICS/332322,"Sheet metal work manufacturing"",""Sheet Metal Work Manufacturing"
NAICS/332323,"Ornamental and architectural metal work mfg."",""Ornamental and Architectural Metal Work Manufacturing"
NAICS3324,"Boiler, tank, and shipping container mfg."
NAICS33241,Power boiler and heat exchanger manufacturing
NAICS/332410,"Power boiler and heat exchanger manufacturing"",""Power Boiler and Heat Exchanger Manufacturing"
NAICS33242,"Metal tank, heavy gauge, manufacturing"
NAICS/332420,"Metal Tank (Heavy Gauge) Manufacturing"",""Metal tank, heavy gauge, manufacturing"
NAICS33243,"Metal can, box, and other container mfg."
NAICS/332431,"Metal can manufacturing"",""Metal Can Manufacturing"
NAICS/332439,"Other metal container manufacturing"",""Other Metal Container Manufacturing"
NAICS3325,Hardware manufacturing
NAICS33251,Hardware manufacturing
NAICS/332510,"Hardware manufacturing"",""Hardware Manufacturing"
NAICS3326,Spring and wire product manufacturing
NAICS33261,Spring and wire product manufacturing
NAICS332611,"Spring, heavy gauge, manufacturing"
NAICS332612,"Spring, light gauge, manufacturing"
NAICS/332613,"Spring manufacturing"",""Spring Manufacturing"
NAICS/332618,"Other fabricated wire product manufacturing"",""Other Fabricated Wire Product Manufacturing"
NAICS3327,Machine shops and threaded product mfg.
NAICS33271,Machine shops
NAICS/332710,"Machine shops"",""Machine Shops"
NAICS33272,"Turned product and screw, nut, and bolt mfg."
NAICS/332721,"Precision turned product manufacturing"",""Precision Turned Product Manufacturing"
NAICS/332722,"Bolt, Nut, Screw, Rivet, and Washer Manufacturing"",""Bolt, nut, screw, rivet, and washer mfg."
NAICS3328,"Coating, engraving, and heat treating metals"
NAICS33281,"Coating, engraving, and heat treating metals"
NAICS/332811,"Metal heat treating"",""Metal Heat Treating"
NAICS/332812,"Metal Coating, Engraving (except Jewelry and Silverware), and Allied Services to Manufacturers"",""Metal coating and non precious engraving"
NAICS/332813,"Electroplating, Plating, Polishing, Anodizing, and Coloring"",""Electroplating, anodizing, and coloring metal"
NAICS3329,Other fabricated metal product manufacturing
NAICS33291,Metal valve manufacturing
NAICS/332911,"Industrial valve manufacturing"",""Industrial Valve Manufacturing"
NAICS/332912,"Fluid power valve and hose fitting mfg."",""Fluid Power Valve and Hose Fitting Manufacturing"
NAICS/332913,"Plumbing fixture fitting and trim mfg."",""Plumbing Fixture Fitting and Trim Manufacturing"
NAICS/332919,"Other metal valve and pipe fitting mfg."",""Other Metal Valve and Pipe Fitting Manufacturing"
NAICS33299,All other fabricated metal product mfg.
NAICS/332991,"Ball and roller bearing manufacturing"",""Ball and Roller Bearing Manufacturing"
NAICS/332992,"Small arms ammunition manufacturing"",""Small Arms Ammunition Manufacturing"
NAICS/332993,"Ammunition (except Small Arms) Manufacturing"",""Ammunition, except small arms, manufacturing"
NAICS/332994,"Small Arms, Ordnance, and Ordnance Accessories Manufacturing"",""Small arms and ordnance manufacturing"
NAICS332995,Other ordnance and accessories manufacturing
NAICS/332996,"Fabricated pipe and pipe fitting mfg."",""Fabricated Pipe and Pipe Fitting Manufacturing"
NAICS332997,Industrial pattern manufacturing
NAICS332998,Enameled iron and metal sanitary ware mfg.
NAICS/332999,"Miscellaneous fabricated metal product mfg."",""All Other Miscellaneous Fabricated Metal Product Manufacturing"
NAICS333,Machinery manufacturing
NAICS3331,"Ag., construction, and mining machinery mfg."
NAICS33311,Agricultural implement manufacturing
NAICS/333111,"Farm machinery and equipment manufacturing"",""Farm Machinery and Equipment Manufacturing"
NAICS/333112,"Lawn and garden equipment manufacturing"",""Lawn and Garden Tractor and Home Lawn and Garden Equipment Manufacturing"
NAICS33312,Construction machinery manufacturing
NAICS/333120,"Construction machinery manufacturing"",""Construction Machinery Manufacturing"
NAICS33313,Mining and oil and gas field machinery mfg.
NAICS/333131,"Mining machinery and equipment manufacturing"",""Mining Machinery and Equipment Manufacturing"
NAICS/333132,"Oil and gas field machinery and equipment"",""Oil and Gas Field Machinery and Equipment Manufacturing"
NAICS3332,Industrial machinery manufacturing
NAICS33321,Sawmill and woodworking machinery
NAICS333210,Sawmill and woodworking machinery
NAICS33322,Plastics and rubber industry machinery
NAICS333220,Plastics and rubber industry machinery
NAICS33324,Industrial machinery manufacturing
NAICS/333241,"Food product machinery manufacturing"",""Food Product Machinery Manufacturing"
NAICS/333242,"Semiconductor machinery manufacturing"",""Semiconductor Machinery Manufacturing"
NAICS/333243,"Sawmill, Woodworking, and Paper Machinery Manufacturing"",""Sawmill, woodworking, and paper machinery mfg"
NAICS/333244,"Printing machinery and equipment mfg."",""Printing Machinery and Equipment Manufacturing"
NAICS/333249,"Other industrial machinery manufacturing"",""Other Industrial Machinery Manufacturing"
NAICS33329,Other industrial machinery manufacturing
NAICS333291,Paper industry machinery manufacturing
NAICS333292,Textile machinery manufacturing
NAICS333293,Printing machinery and equipment mfg.
NAICS333294,Food product machinery manufacturing
NAICS333295,Semiconductor machinery manufacturing
NAICS333298,All other industrial machinery manufacturing
NAICS3333,Commercial and service industry machinery
NAICS33331,Commercial and service industry machinery
NAICS333311,Automatic vending machine manufacturing
NAICS333312,Commercial laundry and dry cleaning machinery
NAICS333313,Office machinery manufacturing
NAICS/333314,"Optical instrument and lens manufacturing"",""Optical Instrument and Lens Manufacturing"
NAICS333315,Photographic and photocopying equipment mfg.
NAICS/333316,"Photographic and photocopying equipment mfg."",""Photographic and Photocopying Equipment Manufacturing"
NAICS/333318,"Other commercial and service machinery mfg."",""Other Commercial and Service Industry Machinery Manufacturing"
NAICS333319,Other commercial and service machinery mfg.
NAICS3334,HVAC and commercial refrigeration equipment
NAICS33341,HVAC and commercial refrigeration equipment
NAICS333411,Air purification equipment manufacturing
NAICS333412,Industrial and commercial fan and blower mfg.
NAICS/333413,"Fan, blower, air purification equipment mfg."",""Industrial and Commercial Fan and Blower and Air Purification Equipment Manufacturing"
NAICS/333414,"Heating Equipment (except Warm Air Furnaces) Manufacturing"",""Heating equipment, except warm air furnaces"
NAICS/333415,"Ac, refrigeration, and forced air heating"",""Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Manufacturing"
NAICS3335,Metalworking machinery manufacturing
NAICS33351,Metalworking machinery manufacturing
NAICS/333511,"Industrial mold manufacturing"",""Industrial Mold Manufacturing"
NAICS333512,Metal cutting machine tool manufacturing
NAICS333513,Metal forming machine tool manufacturing
NAICS/333514,"Special Die and Tool, Die Set, Jig, and Fixture Manufacturing"",""Special tool, die, jig, and fixture mfg."
NAICS/333515,"Cutting tool and machine tool accessory mfg."",""Cutting Tool and Machine Tool Accessory Manufacturing"
NAICS333516,Rolling mill machinery and equipment mfg.
NAICS/333517,"Machine tool manufacturing"",""Machine Tool Manufacturing"
NAICS333518,Other metalworking machinery manufacturing
NAICS/333519,"Other metalworking machinery manufacturing"",""Rolling Mill and Other Metalworking Machinery Manufacturing"
NAICS3336,Turbine and power transmission equipment mfg.
NAICS33361,Turbine and power transmission equipment mfg.
NAICS/333611,"Turbine and turbine generator set units mfg."",""Turbine and Turbine Generator Set Units Manufacturing"
NAICS/333612,"Speed Changer, Industrial High-Speed Drive, and Gear Manufacturing"",""Speed changer, drive, and gear manufacturing"
NAICS/333613,"Mechanical power transmission equipment mfg."",""Mechanical Power Transmission Equipment Manufacturing"
NAICS/333618,"Other engine equipment manufacturing"",""Other Engine Equipment Manufacturing"
NAICS3339,Other general purpose machinery manufacturing
NAICS33391,Pump and compressor manufacturing
NAICS333911,Pump and pumping equipment manufacturing
NAICS/333912,"Air and gas compressor manufacturing"",""Air and Gas Compressor Manufacturing"
NAICS333913,Measuring and dispensing pump manufacturing
NAICS/333914,"Measuring, Dispensing, and Other Pumping Equipment Manufacturing"",""Measuring, dispensing, and other pumping equipment manufacturing"
NAICS33392,Material handling equipment manufacturing
NAICS/333921,"Elevator and moving stairway manufacturing"",""Elevator and Moving Stairway Manufacturing"
NAICS/333922,"Conveyor and conveying equipment mfg."",""Conveyor and Conveying Equipment Manufacturing"
NAICS/333923,"Overhead Traveling Crane, Hoist, and Monorail System Manufacturing"",""Overhead cranes, hoists, and monorail systems"
NAICS/333924,"Industrial Truck, Tractor, Trailer, and Stacker Machinery Manufacturing"",""Industrial truck, trailer, and stacker mfg."
NAICS33399,All other general purpose machinery mfg.
NAICS/333991,"Power-driven hand tool manufacturing"",""Power-Driven Handtool Manufacturing"
NAICS/333992,"Welding and soldering equipment manufacturing"",""Welding and Soldering Equipment Manufacturing"
NAICS/333993,"Packaging machinery manufacturing"",""Packaging Machinery Manufacturing"
NAICS/333994,"Industrial process furnace and oven mfg."",""Industrial Process Furnace and Oven Manufacturing"
NAICS/333995,"Fluid power cylinder and actuator mfg."",""Fluid Power Cylinder and Actuator Manufacturing"
NAICS/333996,"Fluid power pump and motor manufacturing"",""Fluid Power Pump and Motor Manufacturing"
NAICS/333997,"Scale and balance manufacturing"",""Scale and Balance Manufacturing"
NAICS/333999,"Miscellaneous general purpose machinery mfg."",""All Other Miscellaneous General Purpose Machinery Manufacturing"
NAICS334,Computer and electronic product manufacturing
NAICS3341,Computer and peripheral equipment mfg.
NAICS33411,Computer and peripheral equipment mfg.
NAICS/334111,"Electronic computer manufacturing"",""Electronic Computer Manufacturing"
NAICS/334112,"Computer storage device manufacturing"",""Computer Storage Device Manufacturing"
NAICS334113,Computer terminal manufacturing
NAICS/334118,"Other computer peripheral equipment mfg"",""Computer Terminal and Other Computer Peripheral Equipment Manufacturing"
NAICS334119,Other computer peripheral equipment mfg.
NAICS3342,Communications equipment manufacturing
NAICS33421,Telephone apparatus manufacturing
NAICS/334210,"Telephone apparatus manufacturing"",""Telephone Apparatus Manufacturing"
NAICS33422,Broadcast and wireless communications equip.
NAICS/334220,"Broadcast and wireless communications equip."",""Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing"
NAICS33429,Other communications equipment manufacturing
NAICS/334290,"Other communications equipment manufacturing"",""Other Communications Equipment Manufacturing"
NAICS3343,Audio and video equipment manufacturing
NAICS33431,Audio and video equipment manufacturing
NAICS/334310,"Audio and video equipment manufacturing"",""Audio and Video Equipment Manufacturing"
NAICS3344,Semiconductor and electronic component mfg.
NAICS33441,Semiconductor and electronic component mfg.
NAICS334411,Electron tube manufacturing
NAICS/334412,"Bare printed circuit board manufacturing"",""Bare Printed Circuit Board Manufacturing"
NAICS/334413,"Semiconductors and related device mfg."",""Semiconductor and Related Device Manufacturing"
NAICS334414,Electronic capacitor manufacturing
NAICS334415,Electronic resistor manufacturing
NAICS/334416,"Capacitor, Resistor, Coil, Transformer, and Other Inductor Manufacturing"",""Capacitor, resistor, and inductor mfg."
NAICS/334417,"Electronic connector manufacturing"",""Electronic Connector Manufacturing"
NAICS/334418,"Printed circuit assembly manufacturing"",""Printed Circuit Assembly (Electronic Assembly) Manufacturing"
NAICS/334419,"Other electronic component manufacturing"",""Other Electronic Component Manufacturing"
NAICS3345,Electronic instrument manufacturing
NAICS33451,Electronic instrument manufacturing
NAICS/334510,"Electro medical apparatus manufacturing"",""Electromedical and Electrotherapeutic Apparatus Manufacturing"
NAICS/334511,"Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing"",""Search, detection, and navigation instruments"
NAICS/334512,"Automatic Environmental Control Manufacturing for Residential, Commercial, and Appliance Use"",""Automatic environmental control manufacturing"
NAICS/334513,"Industrial process variable instruments"",""Instruments and Related Products Manufacturing for Measuring, Displaying, and Controlling Industrial Process Variables"
NAICS/334514,"Totalizing fluid meters and counting devices"",""Totalizing Fluid Meter and Counting Device Manufacturing"
NAICS/334515,"Electricity and signal testing instruments"",""Instrument Manufacturing for Measuring and Testing Electricity and Electrical Signals"
NAICS/334516,"Analytical laboratory instrument mfg."",""Analytical Laboratory Instrument Manufacturing"
NAICS/334517,"Irradiation apparatus manufacturing"",""Irradiation Apparatus Manufacturing"
NAICS334518,"Watch, clock, and part manufacturing"
NAICS/334519,"Other measuring and controlling device mfg."",""Other Measuring and Controlling Device Manufacturing"
NAICS3346,Magnetic media manufacturing and reproducing
NAICS3343_3346,Manufacturing and reproducing magnetic and optical media and audio and video equipment manufacturing
NAICS33461,Magnetic media manufacturing and reproducing
NAICS334611,Software reproducing
NAICS334612,Audio and video media reproduction
NAICS/334613,"Blank magnetic and optical media mfg"",""Blank Magnetic and Optical Recording Media Manufacturing"
NAICS/334614,"Software and Other Prerecorded Compact Disc, Tape, and Record Reproducing"",""Software and prerecorded media reproducing"
NAICS335,Electrical equipment and appliance mfg.
NAICS3351,Electric lighting equipment manufacturing
NAICS33511,Electric lamp bulb and part manufacturing
NAICS/335110,"Electric lamp bulb and part manufacturing"",""Electric Lamp Bulb and Part Manufacturing"
NAICS33512,Lighting fixture manufacturing
NAICS/335121,"Residential electric lighting fixture mfg."",""Residential Electric Lighting Fixture Manufacturing"
NAICS/335122,"Commercial, Industrial, and Institutional Electric Lighting Fixture Manufacturing"",""Nonresidential electric lighting fixture mfg."
NAICS/335129,"Other lighting equipment manufacturing"",""Other Lighting Equipment Manufacturing"
NAICS3352,Household appliance manufacturing
NAICS33521,Small electrical appliance manufacturing
NAICS/335210,"Small electrical appliance manufacturing"",""Small Electrical Appliance Manufacturing"
NAICS335211,Electric housewares and household fan mfg.
NAICS335212,Household vacuum cleaner manufacturing
NAICS33522,Major household appliance manufacturing
NAICS/335220,"Major household appliance manufacturing"",""Major Household Appliance Manufacturing"
NAICS335221,Household cooking appliance manufacturing
NAICS335222,Household refrigerator and home freezer mfg.
